Tên doanh nghiệp,Tên giao dịch,Mã số thuế,Địa chỉ,Tình trạng hoạt động,Ngày cấp giấy phép,Ngành nghề kinh doanh,Link
CÔNG TY CỔ PHẦN AN NINH TIÊN PHONG VIỆT NAM,TPSVN,111049850,"Lô C40, Khu đấu giá 3ha, Đường Phúc Minh, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,Dịch vụ hệ thống bảo đảm an toàn,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-An-Ninh-Tien-Phong-Viet-Nam-49850.html
CÔNG TY TRÁCH NHIỆM HỮU HẠN MTV THÀNH VIÊN AN NHẬT VƯỢNG,,111050510,"Số nhà 179 Đường 428 Thôn Phúc Lâm, Xã Phúc Tiến, Huyện Phú Xuyên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,Vận tải hành khách đường bộ khác,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Trach-Nhiem-Huu-Han-MTV-Thanh-Vien-An-Nhat-Vuong-50510.html
CÔNG TY TNHH THẾ GIỚI SỮA TỐT 86,GOOD MILK WORLD CO.LTD,111048818,"Lô 86 Khu đô thị Ngọc Hà, Xã Kim Hoa, Huyện Mê Linh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-The-Gioi-Sua-Tot-86-48818.html
CÔNG TY TNHH XÂY DỰNG-THƯƠNG MẠI VÀ NHÂN LỰC TRUNG TÍN,"TRUNG TIN CONTRADHURETRADEPRO CO., LTD",111049882,"Xóm Chùa, Thôn Song Khê, Xã Tam Hưng, Huyện Thanh Oai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,Cung ứng lao động tạm thời,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Xay-Dung-Thuong-Mai-Va-Nhan-Luc-Trung-Tin-49882.html
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI XNK MINH ANH,,111049681,"Lô 1 LK6 Khu Đô Thị Tân Tây Đô, Xã Tân Lập, Huyện Đan Phượng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,Vận tải hàng hóa bằng đường bộ,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dich-Vu-Thuong-Mai-XNK-Minh-Anh-49681.html
CÔNG TY CỔ PHẦN HAMT GROUP,HAMT GROUP,111049603,"Số 144, Nguyễn Khuyến, Phường Văn Miếu- Quốc Tử Giám, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,"Đại lý, môi giới, đấu giá hàng hóa",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Hamt-Group-49603.html
CÔNG TY CỔ PHẦN Y TẾ VÀ THIẾT BỊ THÍNH HỌC PHÚC GIA,"PHUC GIA MAE JSC,. CO",111049628,"Số 105 Đường Phương Mai, Phường Phương Mai, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,"Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Y-Te-Va-Thiet-Bi-Thinh-Hoc-Phuc-Gia-49628.html
CÔNG TY TNHH MTV THƯƠNG MẠI & DỊCH VỤ AN PHÚ HD,,111050503,"254 đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,Dịch vụ lưu trú ngắn ngày,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-MTV-Thuong-Mai-Dich-Vu-An-Phu-HD-50503.html
CÔNG TY TNHH CÔNG NAM GROUP,"CONG NAM., LTD",111050493,"Ngõ 88/61/42 phố Giáp Nhị, Tổ 14, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Cong-Nam-Group-50493.html
CÔNG TY TNHH HÀNG VIỆT PHỐ,,111050486,"Số 30 ngõ 61 phố Định Công, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,"Đại lý, môi giới, đấu giá hàng hóa",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Hang-Viet-Pho-50486.html
"CÔNG TY CỔ PHẦN TƯ VẤN, ĐẦU TƯ VÀ XUẤT NHẬP KHẨU TLK",,111049988,"19/B8 Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,"Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Tu-Van-Dau-Tu-Va-Xuat-Nhap-Khau-Tlk-49988.html
CÔNG TY CỔ PHẦN CONVINA,,111049593,"Số nhà 52, ngõ 342 đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Convina-49593.html
CÔNG TY TNHH DENTISY PESTRO,,111050366,"Thôn Yên Thị, Xã Tiến Thịnh, Huyện Mê Linh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,Cổng thông tin,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dentisy-Pestro-50366.html
CÔNG TY TNHH DVDT XKLD,,111049787,"Xóm Trung, Thôn Thanh Nhàn, Xã Thanh Xuân, Huyện Sóc Sơn, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),14/05/2025,"Hoạt động của các trung tâm, đại lý tư vấn, giới thiệu và môi giới lao động, việc làm",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dvdt-Xkld-49787.html
CÔNG TY CỔ PHẦN ĐẠI LỘ TRAVEL,DAI LO TRAVEL JSC,111048575,"Lô 4, TT1 Khu đô thị Mỹ Đình - Mễ Trì, đường Phạm Hùng, Tổ dân phố số 3, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Điều hành tua du lịch,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dai-Lo-Travel-48575.html
CÔNG TY CỔ PHẦN DỮ LIỆU VIỆT NAM,VIETNAM DATA JSC,111048568,"Tầng 2, A1-A3 Tòa nhà Ecoliíe Capitol, số 58 Tố Hữu, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,"Xử lý dữ liệu, cho thuê và các hoạt động liên quan",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Du-Lieu-Viet-Nam-48568.html
CÔNG TY CỔ PHẦN TỔ CHỨC HIỆP HỘI KỶ LỤC THẾ GIỚI OWR,,111048550,"Tầng 3, Tòa Dophin Plaza, số 6 đường Nguyễn Hoàng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,"Hoạt động sáng tác, nghệ thuật và giải trí",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-To-Chuc-Hiep-Hoi-Ky-Luc-The-Gioi-Owr-48550.html
CÔNG TY CỔ PHẦN TỔ CHỨC NGHIÊN CỨU VÀ THẨM ĐỊNH NỘI DUNG KỶ LỤC THẾ GIỚI OWR,,111048543,"Tầng 3, Tòa Dophin Plaza, số 6 đường Nguyễn Hoàng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,"Hoạt động sáng tác, nghệ thuật và giải trí",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-To-Chuc-Nghien-Cuu-Va-Tham-Dinh-Noi-Dung-Ky-Luc-The-Gioi-Owr-48543.html
CÔNG TY TNHH ĐỊA ỐC TRẦN MINH,,111048494,"Tầng 6, V11-B09, Khu đô thị mới An Hưng, Phường La Khê, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dia-Oc-Tran-Minh-48494.html
CÔNG TY CỔ PHẦN XÂY DỰNG KIẾN TRÚC KHÔNG GIAN XANH,KIÊN TRÚC KHÔNG GIAN XANH,111048790,"Xóm Đoàn Ket, Thôn Trung Hậu Đoài, Xã Tiền Phong, Huyện Mê Linh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Dịch vụ chăm sóc và duy trì cảnh quan,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Xay-Dung-Kien-Truc-Khong-Gian-Xanh-48790.html
CÔNG TY CỔ PHẦN ĐẦU TƯ GIÁO DỤC HD,"HD EDU., JSC",111048769,"Tầng ll,Tòa nhà The West, 265 cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Hoạt động tư vấn quản lý,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dau-Tu-Giao-Duc-HD-48769.html
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI DO GROUP,DO GROUP TRADING AND INVESTMENT JSC,111048776,"Số nhà 33Angõ 48 Phố Nguyễn Chánh, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Giáo dục khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dau-Tu-Va-Thuong-Mai-Do-Group-48776.html
CÔNG TY TNHH MTV ẨM THỰC BẾP VIỆT,,111048705,"Nhà số 12 ngõ 125 đường Sông Nhuệ, Thôn Ngọc Kiệu, Xã Tân Lập, Huyện Đan Phượng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-MTV-Am-Thuc-Bep-Viet-48705.html
CÔNG TY TNHH HỌC VIỆN BẢO BẢO,"BAO BAO ACADEMY CO., LTD",111048670,"Thôn Thái Phù, Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Giáo dục thể thao và giải trí,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Hoc-Vien-Bao-Bao-48670.html
CÔNG TY CỔ PHẦN CÔNG NGHỆ SOLTECK,SOLTEK JSC,111048783,"Tầng 4, tòa nhà Sannam, số 78 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Xuất bản phần mềm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Cong-Nghe-Solteck-48783.html
CÔNG TY TNHH ĐỒNG HÀNH DU HỌC,"ED. JOURNEY CO., LTD.",111048487,"Số nhà 21, Dãy I, Ngõ 6, Phố Bế Văn Đàn, Phường Quang Trung, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Dịch vụ hỗ trợ giáo dục,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dong-Hanh-Du-Hoc-48487.html
CÔNG TY TNHH XUẤT NHẬP KHẨU VÀ THƯƠNG MẠI A2Z GLOBAL,A2Z GLOBAL,111048952,"Số 98 Xóm Trung Thanh, Thôn Hữu Từ , Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Xuat-Nhap-Khau-Va-Thuong-Mai-A2Z-Global-48952.html
CÔNG TY TNHH MEDICINE HẢI HÀ,MEDICINE HAI HA,111048977,"Số 62, Ngõ 6, Thôn Hữu Lê, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Medicine-Hai-Ha-48977.html
CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ IDF,"IDF TECHNOLOGY., JSC",111048945,"492 Đường Ngọc Hồi, Thị Trấn Văn Điển, Huyện Thanh Trì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dau-Tu-Cong-Nghe-Idf-48945.html
CÔNG TY TNHH ĐẦU TƯ VÀ XÂY DỰNG ĐẠI THANH 365,,111049025,"Đội 4, Thôn Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dau-Tu-Va-Xay-Dung-Dai-Thanh-365-49025.html
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ XÂY DỰNG TAVICO,TAVICO BUILD,111049000,"LÔ19 Xóm Mới, Thôn Cương Ngô, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Xây dựng nhà để ở,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Thuong-Mai-Va-Dich-Vu-Xay-Dung-Tavico-49000.html
CÔNG TY TNHH TƯ VẤN VÀ XÂY DỰNG PCCC,"PCCC CONSTRUCTION AND CONSULTING CO.,LTD",111049018,"Số nhà 32 ngõ 179, phố Triều Khúc, thôn Triều Khúc, Xã Tân Triều, Huyện Thanh Trì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Tu-Van-Va-Xay-Dung-PCCC-49018.html
CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ MINACO GROUP,,111048984,"Số 7b Ngách 4, Ngõ 30, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,"Bán buôn vải, hàng may mặc, giày dép",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dau-Tu-Minaco-Group-48984.html
CÔNG TY CỔ PHẦN POLY BAG IN VIỆT HÀN,,111049032,"SỐ17, ngách 56/1 Phố Ngô Sỹ Liên , Phường Văn Miếu- Quốc Tử Giám, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Sản xuất sản phẩm từ plastic,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Poly-Bag-In-Viet-Han-49032.html
CÔNG TY CỔ PHẦN ĐẦU TƯ H2T GROUP,H2T GROUP JSC,111049057,"Nhà số 02 Ngõ 141HỒ Đắc Di, Phường Nam Đồng, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dau-Tu-H2T-Group-49057.html
CÔNG TY TNHH ĐẦU TƯ PTTM TDL,,111048254,"Số 240 Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dau-Tu-Pttm-Tdl-48254.html
CÔNG TY TNHH GOLF HEART,"GOLF HEART CO., LTD",111048857,"Nhà E4 dãy E Dự án Khu nhà Ở181 Nguyễn Lương Bằng, Phường Quang Trung, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,"Bán lẻ thiết bị, dụng cụ thể dục, thể thao trong các cửa hàng chuyên doanh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Golf-Heart-48857.html
CÔNG TY TNHH BẢO LONG BĐS,"BAO LONG BDS CO., LTD",111048215,"Lô 06 TT2D Khu đô thị Resco, Ngõ 521, Đường cổ Nhuế, Phường cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Dịch vụ lưu trú ngắn ngày,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Bao-Long-BDS-48215.html
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BOSSUP VN,,111048222,"Tầng 2 lô số 06 tòa A7 chung cư An Bình city, số 234 đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Dich-Vu-Bossup-VN-48222.html
CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM THÀNH VY,"THANH VY PHARMACY TRADING ., LTD",111048247,"Ôsốoi, Khu tập thể Công an Thành phố, tổ dân phố Hoàng 4, Phường cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Duoc-Pham-Thanh-Vy-48247.html
CÔNG TY TNHH KHOA HỌC KỸ THUẬT MÔI TRƯỜNG JIU PEI (HÀ NỘI),,111048261,"Số 27 ngõ 123 Thụy Phương, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Xử lý và tiêu huỷ rác thải độc hại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Khoa-Hoc-Ky-Thuat-Moi-Truong-Jiu-Pei-Ha-Noi-48261.html
CÔNG TY TNHH NOVAWAY,"NOVAWAY CO., LTD",111048279,"Số 36 Ngách 23 Ngõ 304 Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Lập trình máy vi tính,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Novaway-48279.html
CÔNG TY TNHH HAKA ĐỨC - VIỆT NAM,"HAKA DUC - VIETNAM CO., LTD",111048286,"Số Nhà 1 Ngõ 2 Phố Văn Hội, Phường Đức Thắng, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Sản xuất thực phẩm khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Haka-Duc-Viet-Nam-48286.html
CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI VÀ ĐẦU TƯ XÂY DỰNG TÀI LỘC,"TAI LOC CONINVANTRSER., JSC",111048825,"Số nhà 78, Xóm cầu Lão, Thôn Hạ, Xã Liên Trung, Huyện Đan Phượng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/05/2025,Sản xuất các cấu kiện kim loại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dich-Vu-Thuong-Mai-Va-Dau-Tu-Xay-Dung-Tai-Loc-48825.html
CÔNG TY TNHH KIẾN TRÚC VÀ NỘI THẤT MY DREAM HOUSE,DM HOUSE,111047797,"01.LK2, Khu nhà ở cho CBCS Tổng cục 5 Bô Công an, Xã Tân Triều, Huyện Thanh Trì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,Hoạt động thiết kế chuyên dụng,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Kien-Truc-Va-Noi-That-My-Dream-House-47797.html
CÔNG TY CỔ PHẦN ĐẦU TƯ HORIZON LAND,"HORIZON LAND INVESTMENT .,JSC",111048127,"Căn số 13-TT4, Khu nhà ở Đài phát sóng phát thanh Mễ Trì, Đường Lương Thế Vinh, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dau-Tu-Horizon-Land-48127.html
CÔNG TY TNHH 873 LITTLE TOWER,873 LITTLE TOWER,111047074,"Số 346 đường Nguyễn Trãi, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,Xây dựng công trình kỹ thuật dân dụng khác,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-873-Little-Tower-47074.html
CÔNG TY TNHH HUHA,,111047973,"Số nhà 149TỔ23, Thị Trấn Đông Anh, Huyện Đông Anh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,Bán lẻ  khác trong các cửa hàng kinh doanh tổng hợp,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Huha-47973.html
CÔNG TY TNHH VYPHYTO,"VYPHYTO CO., LTD",111047966,"số nhà 30 ngõ 1, phố Phạm Tuấn Tài, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Vyphyto-47966.html
CÔNG TY TNHH VM MEDIA VIỆT NAM,,111047148,"Tầng 4, Số 132 phố Trung Hòa, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,Hoạt động tư vấn quản lý,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Vm-Media-Viet-Nam-47148.html
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GLOBAL BEST,"GLOBAL BEST TRADING SERVICES CO.,LTD",111047162,"Số 2 phố Đỗ Quang, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Dich-Vu-Global-Best-47162.html
CÔNG TY TNHH CÔNG NGHỆ QIANCHENG VIỆT NAM,QIANCHENG VIETNAM,111047116,"Tầng 7, Tòa nhà Khởi Việt Media, Lô A6/D21 Khu đô thị mới cầu Giấy, Ngõ 11 Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,Bán lẻ theo yêu cầu đặt hàng qua bưu điện hoặc internet,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Cong-Nghe-Qiancheng-Viet-Nam-47116.html
CÔNG TY TNHH MH SMART TECH,"MH SMART TECH CO., LTD.",111047187,"Số 30, Ngách 90/3 đường Hoa Bằng, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,"Bán buôn thiết bị và linh kiện điện tử, viễn thông",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Mh-Smart-Tech-47187.html
CÔNG TY TNHH QUẢN LÝ NHÂN LỰC GIA MINH,,111047155,"Số 57, ngõ 167 đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,Hoạt động tư vấn quản lý,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Quan-Ly-Nhan-Luc-Gia-Minh-47155.html
CÔNG TY TNHH SẢN XUẤT QUÀ TẶNG TINH HOA,,111047130,"Số nhà 7a ngõ 117 Trần Cung, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Qua-Tang-Tinh-Hoa-47130.html
CÔNG TY TNHH QUANOVA,"QUANOVA CO.,LTD",111047123,"Số 59, đường 800A, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,"Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Quanova-47123.html
CÔNG TY TNHH XUẤT NHẬP KHẨU THIẾT BỊ NHA KHOA MINH ĐỨC,,111047846,"Số 20 Ngách 164 Ngõ 192 Lê Trọng Tấn, Phường Định Công, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Xuat-Nhap-Khau-Thiet-Bi-Nha-Khoa-Minh-Duc-47846.html
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG ĐỊA ỐC PT,"PT REAL ESTATE CONSTRUCTIONINVESTMENT .,JSC",111047814,"Tầng 3, Tòa IP3 - Imperial Plaza, số 360 Đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dau-Tu-Xay-Dung-Dia-Oc-Pt-47814.html
CÔNG TY TNHH PHỤC CHẾ ĐỒ DA VÀ NỘI THẤT CAO CẤP PSA,,111047691,"Số 20B khu 3, Xã Phú Minh, Huyện Sóc Sơn, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,"Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Phuc-Che-Do-Da-Va-Noi-That-Cao-Cap-Psa-47691.html
CÔNG TY CỔ PHẦN TẬP ĐOÀN XÂY DỰNG BĐS BẮC ĐÔ,"BAC DO BDS CONSTRUCTION GROUP .,JSC",111047807,"Tầng 3, Tòa IP3 - Imperial Plaza, số 360 Đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),10/5/2025,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Tap-Doan-Xay-Dung-BDS-Bac-Do-47807.html
